"name","state","White","Black","Hispanic","Asian","Women","World.Rank","National.Rank","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","institutionalControl","tuition","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"University of Delaware","Delaware",70.5776014109347,5.4320987654321,6.44179894179894,4.48853615520282,56.2477954144621,247,88,43.7522045855379,23,1090,65,NA,NA,"public",32250,58600,105400,43,22
"Oregon State University","Oregon",64.0621754483141,1.36744443675137,7.27341964965727,6.58104271965658,46.4584920030465,248,89,53.5415079969535,22,990,77,34,36636,"public",29457,56200,104800,53,34
"University of Maryland, Baltimore","Maryland",54.8916507329509,15.2644996813257,5.16252390057361,14.993626513703,71.1918419375398,253,90,28.8081580624602,NA,NA,NA,NA,NA,"public",NA,57300,99600,76,4
"University of Connecticut","Connecticut",58.7769865491127,5.09777325647112,7.26423269658265,8.7411928714065,50.3334463659998,258,91,49.6665536340002,26,1130,49,33,37427,"public",36948,59100,105200,48,24
"Florida State University","Florida",64.1973511861447,8.1914325910833,15.9947605879785,2.49599767137244,54.9289283461893,260,92,45.0710716538107,25,1110,58,27,34036,"public",21673,50800,92700,49,18
"Indiana University-Purdue University Indianapolis","Indiana",70.4626914304334,9.5959595959596,5.0733137829912,4.21635711958293,56.158357771261,264,93,43.841642228739,19,890,74,NA,NA,"public",29806,50500,88200,55,15
"University at Buffalo","New York",47.7112852142024,5.75429238206368,4.78413068844807,11.0751791965328,47.0611768628105,269,94,52.9388231371895,24,1070,59,28,37040,"public",26270,NA,NA,NA,NA
"Virginia Tech","Virginia",66.4072508326928,3.95208813733026,4.85523955931335,8.03228285933897,42.4064821931847,271,95,57.5935178068153,NA,1100,71,NA,NA,"public",29371,62700,114000,48,42
"University of Tennessee","Tennessee",76.2258935035872,7.11182781544132,2.9059435266241,3.35680905680247,50.7305996182452,273,96,49.2694003817548,25,1100,69,48,36399,"public",41356,51200,95100,52,21
"University of New Mexico","New Mexico",38.6510558827755,2.4493607240339,40.6119810372073,3.27539146674328,55.2183594311162,276,97,44.7816405688838,19,950,47,NA,NA,"public",22412,48400,94000,59,19
"Wayne State University","Michigan",54.4056856914932,17.6988904198999,3.56443541953731,7.45884400609181,55.8742475886576,279,98,44.1257524113424,20,983,68,NA,NA,"public",28590,50800,91700,53,21
"University of South Florida","Florida",52.4726977919786,10.248462015356,17.6737088082407,6.3474653059278,55.753731699175,280,99,44.246268300825,24,1070,47,25,23103,"public",17324,49700,91300,49,25
"Washington State University","Washington",62.7483790002092,3.12347486578819,10.7264867879802,5.21857352018406,51.3421181063934,283,100,48.6578818936066,20,930,72,37,30666,"public",25817,55900,103700,50,20
