"name","state.x","White","Black","Hispanic","Asian","Women","World.Rank","Location","National.Rank","Quality.of.Education","Alumni.Employment","Quality.of.Faculty","Research.Performance","Score","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","state.y","isPublic","tuition","total","White2","Black2","Hispanic2","Asian2","rank","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"University of Minnesota","Minnesota",65.8376835396015,3.4899407589888,3.01874987780319,7.81668524058107,51.6628541263417,38,"USA",25,"77","291","90","25",85.7,48.3371458736583,26,1180,44,23,28170,"MN",TRUE,26603,80.1630594169746,82.1297041535572,4.35355235238165,3.76576181068755,9.75098168337358,4,"Minnesota",57200,104000,51,30
"University of Texas Southwestern Medical Center","Texas",36.052968816745,2.56300726185391,7.85988893635199,17.9837676206749,49.3806065783853,40,"USA",26,"19","-","21","142",85.5,50.6193934216147,NA,NA,NA,NA,NA,NA,NA,NA,64.4596326356258,55.9310801855533,3.97614314115308,12.1935056328694,27.8992710404241,NA,NA,NA,NA,NA,NA
"Washington University in St. Louis","Washington",51.8120992472819,5.5965988291051,4.59994424310008,13.5558962921662,50.7875662113186,41,"USA",27,"150","163","42","35",85.4,49.2124337886814,32,1400,17,41,29245,"MO",TRUE,51533,75.5645386116532,68.5666851134477,7.4063825862387,6.087437742114,17.9394945581996,2,"Missouri",64800,114900,42,30
"University of Southern California","California",32.7939132687914,5.27171224648435,12.4514168609992,18.1282830424234,52.0858361011,44,"USA",28,"271","115","23","66",85.2,47.9141638989,30,1280,17,33,33112,"CA",TRUE,54259,68.6453254186983,47.7729737149132,7.67963763640107,18.1387687873173,26.4086198613685,11,"California",64500,120600,47,23
"Brown University","Rhode Island",42.3265439494608,5.9906328286679,9.73750136150746,11.9703735976473,50.9966234614966,45,"USA",29,"66","49","81","118",85.1,49.0033765385034,31,1370,9,41,24482,"RI",TRUE,53419,70.0250517372835,60.4448592316068,8.55498522320734,13.9057396173588,17.094415927827,1,"Rhode-Island",68200,127600,45,43
"Vanderbilt University","Tennessee",60.3263440012612,7.34668138104998,6.38499132902412,7.6146933627621,53.5472174050134,46,"USA",30,"387","86","51","65",85,46.4527825949866,32,1420,11,46,23323,"TN",TRUE,47664,81.6727100740974,73.8635266866133,8.99527072676383,7.8177782067368,9.32342437988611,1,"Tennessee",65400,119100,48,23
"Pennsylvania State University","Pennsylvania",66.8643707482993,3.87542517006803,5.24659863945578,5.57823129251701,46.1288265306122,47,"USA",31,"320","161","52","45",84.9,53.8711734693878,25,1090,56,14,41789,"PA",TRUE,33664,81.5646258503401,81.9771684737281,4.75135529608007,6.4324437030859,6.83903252710592,13,"Pennsylvania",58500,105500,47,37
"Rutgers University-New Brunswick","New Jersey",43.2345280912812,8.0077721278267,11.2406465748894,22.4275497126793,53.491256356195,48,"USA",32,"190","96","44","70",84.8,46.508743643805,NA,1110,57,13,40121,"NJ",TRUE,30023,84.9104965066766,50.9177662008861,9.43083889186426,13.2382297093335,26.4131651979162,4,"New-Jersey",59800,111000,42,29
"Dartmouth College","New Hampshire",47.1260717688155,5.4144172753255,7.08161321054303,12.305493807558,47.1101937122896,49,"USA",33,"109","17","131","243",84.7,52.8898062877104,30,1350,11,50,23312,"NH",TRUE,52950,71.927596062242,65.5187637969095,7.52759381898455,9.84547461368653,17.1081677704194,1,"New-Hampshire",71500,130900,44,35
"University of California, Davis","California",33.0300220238785,2.04300452069085,16.5092152544338,30.0712878173177,56.5318187087052,50,"USA",34,"97","565","56","43",84.6,43.4681812912948,24,1050,42,9,44075,"CA",TRUE,42396,81.6535296163209,40.4514320190226,2.50204067146964,20.2186180217908,36.8279092877169,19,"California",61500,112600,52,35
